source,p_comp,computed_p,raw,one_tailed_in_txt,sentence,reported_as,comment,rated
2006-47-SLH-lidestam-beskow-2006-visual-phonemic-ambiguity-and-speechreading.pdf,<,0.051231552990079,"F(1, 23) = 4.23, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-58-SLH-newman-mcgregor-2006-teachers-and-laypersons-discern-quality-differences-between-narratives-produced-by-children-with.pdf,<,0.050955940083194,"F(1, 184) = 3.86, p < .005",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-34-JML-Modeling-the-time-course-of-feature-perception-and-_2006_Journal-of-Memory-a.pdf,<,0.0612654701063315,"F(2, 8) = 4.04,p < .035",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-54-SLH-miller-et-al-2006-response-time-in-14-year-olds-with-language-impairment.pdf,<,0.0614838178589319,"(z = 1.87, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-22-JCL-S030500090600746Xa.pdf,<,0.069599353533269,"X 2(2)=5.33, p<0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-05-JPR-s10936-005-9006-3.pdf,<,0.201282774791,"F (1, 310) = 1.64, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-05-LSP-chen-bond-2007-explaining-language-priming-effects-further-evidence-for-ethnic-affirmation-among-chinese-english.pdf,<,0.878289503023014,"r(235) = .01, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-06-SLH-zhang-formby-effects-of-cueing-in-auditory-temporal-masking.pdf,<,0.254823595718813,"F(2, 1) = 7.20, p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-25-JML-Proactive-interference-slows-recognition-by-eliminati_2007_Journal-of-Memory.pdf,<,0.111776335551541,"F (2,14) = 2.573, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-36-APS-S0142716407070336a.pdf,>,0.0197328814081484,"F (1, 209) = 5.52, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-04-LSP-carnaghi-maass-2007-in-group-and-out-group-perspectives-in-the-use-of-derogatory-group-labels-gay-versus-fag.pdf,<,0.0541548034561768,"t(28) = 2.01, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-23-BAL-Hemispheric-differences-in-strong-versus-weak-semantic-primi_2007_Brain-and-.pdf,<,0.0539884727460356,"F (1,92) = 3.81, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2007-45-JML-The-role-of-noncriterial-recollection-in-estimating_2007_Journal-of-Memory-a.pdf,<,0.0827764780955034,"t(70) = 1.76, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-10-SLH-wheeler-hegland-et-al-submental-semg-and-hyoid-movement-during-mendelsohn-maneuver-effortful-swallow-and-expiratory.pdf,<,0.167684469734045,"F(3, 1) =18.773, p < .000",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-21-JML-Control-of-access-to-memory--The-use-of-task-interf_2008_Journal-of-Memory-a.pdf,<,0.0537443875589433,"t(109) = 1.95, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-77-SLH-proctor-et-al-prevalence-of-stuttering-in-african-american-preschoolers.pdf,<,0.610120154797508,"c2(1, N = 941) = 0.26, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-55-JML-Precategorical-acoustic-storage-and-the-percept_2008_Journal-of-Memory-and-L.pdf,<,0.150438929888034,"F(1, 144) = 2.09,p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-21-SLH-dawes-bishop-maturation-of-visual-and-auditory-temporal-processing-in-school-aged-children.pdf,<,0.25596995752336,"F(1, 1) = 5.53, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-43-SLH-howell-et-al-late-childhood-stuttering.pdf,<,0.0519551653708229,"t(30) = 2.024, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2008-14-APS-S0142716408080168a.pdf,<,0.557860880055485,"t (20) = -.596, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-10-SLA-S0272263109090342a.pdf,<,0.0530356403059754,"F(1, 123) = 3.816, p < .01",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-00-BAL-A-common-mechanism-in-verb-and-noun-naming-deficits-in-Al_2009_Brain-and-Lan.pdf,<,0.133609281642764,"t(13) = 1.6, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-09-LSP-kang-rubin-2009-reverse-linguistic-stereotyping-measuring-the-effect-of-listener-expectations-on-speech-evaluation.pdf,<,0.0603761735200773,"F(2, 151) = 2.86,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-34-JML-Onsets-and-codas-in-1-5-year-olds--word-recog_2009_Journal-of-Memory-and-Lan.pdf,<,0.0727710335508396,"t(35) = 1.85, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-77-SLH-rossi-katz-arehart-message-and-talker-identification-in-older-adults-effects-of-task-distinctiveness-of-the-talkers.pdf,<,0.0867822948516792,"F(2, 40) = 2.6, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-42-SLH-johnson-de-villiers-syntactic-frames-in-fast-mapping-verbs-effect-of-age-dialect-and-clinical-status.pdf,<,0.0875472189898683,"F(1, 517) = 2.93,p < .02",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2009-09-LLT-13_03_hincksedlund.pdf,<,0.745209561779319,"t(18) = .330, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-02-APS-S0142716409990178a.pdf,<,0.0504211354535771,"F (2, 28) = 3.33, p <.05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-40-SLH-hirata-kelly-effects-of-lips-and-hands-on-auditory-learning-of-second-language-speech-sounds.pdf,<,0.0542747394311686,"F(3, 56) = 2.70, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-15-SLA-S0272263110000276a.pdf,<,0.239662600759672,"2(3, N = 176) = 4.21, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-24-APS-S0142716410000184a.pdf,<,0.050965849586296,"F (1, 15) = 4.50, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-11-SLH-dale-et-al-the-etiology-of-diverse-receptive-language-skills-at-12-years.pdf,<,0.83579469283635,"F (4, 4312) = 0.362, p < .01",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-32-SLH-green-et-al-lip-movement-exaggerations-during-infant-directed-speech.pdf,<,0.0569398499365917,"t(24) = 2.0,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2010-58-JML-What-and-where-in-speech-recognition--Geminates-and_2010_Journal-of-Memory-a.pdf,<,0.061969985480331,"F(1, 1274) = 3.49, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-54-JML-Why-brother-and-sister-are-not-just-siblings--Repair-_2011_Journal-of-Memory.pdf,<,0.0506079283216595,"F(3, 126) =2.667, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-02-JML-Benefits-and-costs-of-lexical-decomposition-and-semantic-i_2011_Journal-of-M.pdf,<,0.0548578994076736,"z = 1.92, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-81-SLH-roup-dichotic-word-recognition-in-noise-and-the-right-ear-advantage.pdf,<,0.0937691759201585,"t(67) = -1.7, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-08-SLH-billiet-bellis-the-relationship-between-brainstem-temporal-processing-and-performance-on-tests-of-central-auditory.pdf,<,0.0619356798210946,"F(1, 27) = 3.793, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-17-SLA-S0272263111000325a.pdf,<,0.0616415589685663,"F(1, 31) = 3.76, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-10-SLH-blackman-hall-reducing-the-effects-of-background-noise-during-auditory-functional-magnetic-resonance-imaging-of-speech.pdf,<,0.0898570604525017,"F(1, 7) = 3.87, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2011-15-BAL-Hemispheric-asymmetries-in-processing-L1-and-L2-idioms--Eff_2011_Brain-and-L.pdf,<,0.0753155882976595,"t(37) = 1.83, p < 0.05",FALSE,"As can be seen from the Table, the lvf/RH showed a comparable significant facilitation for literal targets following both ambiguous (46 ms, t(37) = 1.83, p < 0.05) and unambiguous context (41 ms, t(37) = 2.52, p < 0.05).",significant,add comments,DE
2012-49-BLC-S1366728911000691a.pdf,<,0.674485453696499,"z = -0.42,p < .05",TRUE,"Only between 2L1ers with Italian as the stronger language and L2ers did the comparison yield a significant difference (B = -2.01, SE = 0.83, z = -0.42, p < .05).",significant,add comments,DE
2012-61-BLC-S1366728912000193a.pdf,<,0.0509792221278985,"F(1,23) = 4.24, p < .05",FALSE,"Switch trials were significantly more erroneous than repetition trials (F(1,23) = 29.33, p < .001, p2 = .560) and there were more errors in German trials than in English trials (F(1,23) = 4.24, p < .05, p2 = .156), again indicating a speed-accuracy tradeoff.",significant,add comments,DE
2012-69-SLH-yoon-et-al-speech-recognition-and-acoustic-features-in-combined-electric-and-acoustic-stimulation.pdf,>,0.048630852079355,"F(1, 8) = 5.4, p > .05",FALSE,Note. The analysis was performed with two factors: listening mode and SNR for each group. The same analysis was performed with two factors: Group and SNR between groups. SNR = signal-to-noise ratio. Boldface type in the table body represents a significant effect.,not significant,"statistics from a table. Looking at the source, the string is not in boldface indicating reported as insignificant.",DE
2012-55-BAL-Neural-dissociation-of-phonological-and-visual-attention-span-_2012_Brain-an.pdf,<,0.101679789092717,"t(19) = 1.72, p < 0.05",TRUE,"In contrast, FG showed a selective and significant word spelling impairment illustrated by a lower performance than the controls on both the consistent (t(19) = 1.72, p < 0.05) and inconsistent words (t(19) = 3.09, p < 0.01), in absence of any spelling deficit for pseudo-words (t(19) = 1.33, p > 0.05).",significant,add comments,DE
2012-27-SLH-lovett-et-al-the-developmental-trajectory-of-spatial-listening-skills-in-normal-hearing-children.pdf,>,0.0173126380510331,"(z = -2.38, p > .05",FALSE,"The 2-year-olds had lower scores than the adults (z = -3.13, p < .05), whereas the 3-year-olds had scores that did not differ significantly from the adults (z = -2.38, p > .05).",not significant,add comments,DE
2012-04-SLH-bouton-et-al-perception-of-speech-features-by-french-speaking-children-with-cochlear-implants.pdf,<,0.174308192211944,"t(24) = 1.4, p < .001",FALSE,"We observed that the mean difference between groups for each feature is different from chance: place, t(24) = 8.4, p < .001; consonant nasality, t(24) = 6.4, p < .001; voicing, t(24) = 1.2, p < .001; manner, t(24) = 1.3, p < .001; aperture, t(24) = 1.4, p < .001; vowel nasality, t(24) = 1.9, p < .001; frontness, t(24) = 1.1, p < .001.",significant,add comments,DE
2012-50-BAL-Musical-training-during-early-childhood-enhances-the-neural_2012_Brain-and-L.pdf,<,0.0546250449629831,"t(30) = 2.00,p < 0.05",FALSE,"Independent samples t-test revealed that in their responses to noise relative to their responses in quiet, musicians demonstrated less of a delay in the formant transition region than nonmusicians (peak 43; Fig. 3B and C) (t(30) = 2.00, p < 0.05).",significant,add comments,DE
2013-42-LSP-struthers-et-al-2014-the-role-of-victim-embarrassment-in-explaining-why-apologies-affect-reported-(but-not-actual).pdf,<,0.103137915913297,"t(38) = 1.67, p < .05",TRUE,"Consistent with our hypotheses, we found a significant simple effect for apology on reported forgiveness for participants in the embarrassment condition, t(38) = 1.67, p < .05.",significant,add comments,DE
2013-01-LaS-astruc-et-al-2012-tonal-targets-in-early-child-english-spanish-and-catalan.pdf,<,0.0627596409622366,"F(3, 313) = 2.460, p < 0.001",FALSE,"As for the alignment of H* to Syll End, we find significant effects of Syllable Duration, F(1, 313) = 449.004, p < 0.001, partial eta-squared = 0.589; Stress F(2, 313) = 45.441, p < 0.001, partial eta-squared = 0.225; Age, F(3, 313) = 2.460, p < 0.001, partial eta-squared = 0.023; and of the Age by Stress interaction, F(1, 313) = 2.851, p = 0.010, partial eta-squared = 0.052.",significant,add comments,DE
2013-44-JCL-S0305000912000499a.pdf,<,0.055043936378878,"x2 (3,n=24)=7.60, p<.05",FALSE,"However, the reverse pattern was found in the case of non-morphological markers, whereby the children with SLI resorted more to this strategy (35%) than the TD group (6%) (x2 (3, n=24)=7.60, p<.05).",significant,add comments,DE
2013-90-BAL-Neuronal-correlates-of-decisions-to-speak-and-act--Spontaneous-_2013_Brain-a.pdf,<,0.109117441499711,"F(1,5) = 3.79, p < .05",FALSE,"Primary areas become active only at time step 5 (F(1,5) = 3.79, p < .05).",significant,add comments,DE
2013-26-BAL-Deduction-electrified--ERPs-elicited-by-the-processing-of-w_2013_Brain-and-L.pdf,<,0.0531446176925402,"F(2.48, 42.15) = 2.94, p < .05",FALSE,"It also revealed significant interactions between anterior-posterior location and laterality (F(2.48, 42.15) = 2.94, p < .05) and between anterior-posterior location and the matching stimulus position (F(2.4, 39.38) = 4.05, p < .05; MSE = 0.52).",significant,add comments,DE
2013-51-BAL-ERP-evidence-for-conceptual-mappings-and-comparison-processes_2013_Brain-and.pdf,<,0.0588834162114373,"F(1, 17) = 4.10, p < .05",FALSE,"N400s for the anomalous and metaphorical conditions were more negative than the literals, both for the N = 18 analysis [anomalous vs. literal: F(1, 17) = 4.10, p < .05, FDR; novel vs. literal: F(1, 17) = 7.06, p < .05, FDR; conventional vs. literal: F(1, 17) = 5.91, p < .05, FDR] and for the N = 24 analysis [anomalous vs. literal: F(1, 23) = 7.63, p < .05, FDR; novel vs. literal: F(1, 23) = 5.38, p < .05, FDR; conventional vs. literal: F(1, 23) = 4.69, p < .05, FDR].",significant,add comments,DE
2013-09-APS-S0142716411000683a.pdf,<,0.0535375270495466,"t (31) = 2.007,p < .003",TRUE,"Two NACT unaccusative verbs, namely, stejnothike/dry-PERF-NONACTIVE and zarothike/crinkle-PERF-NONACTIVE, were excluded from the testing materials becasue they have received very low acceptability rates in the norming study which was ran to measure verb acceptability, t (31) = 2.120, p < .001, and t (31) = 2.007, p < .003, respectively.",significant,add comments,DE
2014-06-APS-S0142716412000355a.pdf,<,0.0925311948986432,"t (8) = 1.91, p < .05",FALSE,"Such pattern was opposite in English, that is, the proportion of pronouns referring to new third-person referents was lower than that of pronouns referring to given referents, t (8) = 1.91, p < .05.",significant,add comments,DE
2014-29-LAB-lab.4.2.03lop.pdf,<,0.0789523836534501,"F(1,57) = 3.20, p < .05",FALSE,"There was a significant interaction of Error x Feature, F(1,57) = 13.85, p < .01, which was qualified by an interaction of Error x Feature x Proficiency Level, F(1,57) = 3.20, p < .05.",significant,add comments,DE
2014-26-JCL-S030500091300010Xa.pdf,>,0.0466171215855458,"t(42.16)=2.05, p>.05",FALSE,"At 2; 0, there was no significant difference in mean ND values between large and small PASSIVE lexicons (equal variances not assumed : t(42.16)=2.05, p>.05, d=.56).",not significant,add comments,DE
2014-04-APS-S0142716412000288a.pdf,<,0.0508937582021991,"F (1, 119) =3.89, p < .05",FALSE,"For letter fluency, there was a main effect of grade, F (1, 119) = 43.24, d = 1.22, p < .0001, no main effect of group (F < 1), but a significant interaction of language group by grade, F (1, 119) = 3.89, p < .05.",significant,add comments,DE
2014-23-JCL-S0305000913000068a.pdf,<,0.0624753749398604,"t(25)=1.95, p<.05",FALSE,"There was a significant difference in MCDI scores between these two groups (t(25)=1.95, p<.05, 1-tailed ; Cohen's d=.78).",significant,add comments,DE
2014-22-LAB-lab.4.4.02ran.pdf,>,0.0419353175301354,"t(18) = 2.19,p > .05",FALSE,"The difference between native speakers' (M = 5, SE = 0) and learners' (M = 4.79, SE = 0.42) performance on periphrastic tense subject questions was not significant, t(18) = 2.19, p > .05",not significant,add comments,DE
2014-04-BLC-S1366728913000047a.pdf,<,0.0845206445489824,"X2 (4) = 8.2,p < .05",TRUE,"For medial position, there was also a significant difference between groups, although it was not as pronounced as for onset position, X2 (4) = 8.2, p < .05.",significant,add comments,DE
2015-10-LCN-01-Reversing expectations during discourse comprehension.pdf,<,0.054487480876026,"F(1, 19) = 4.2, p < .05",FALSE,"As in Experiment 1, this larger N400 coherence effect in the even-so scenarios was largely driven by an attenuation of the N400 to critical words in the coherent even-so (vs. coherent plain) scenarios [F(1, 19) = 4.2, p < .05;",unclear,add comments,DE
2015-44-JML-The-advantage-of-starting-big--Learning-from-unsegmented-_2015_Journal-of-Me.pdf,<,0.0734539113974526,"(Z = 1.79,p < .05",FALSE,"Experiment 1 and Experiment 2 was significant (Z = 1.79, p < .05).",significant,add comments,DE
2015-55-BAL-Neurophysiological-sensitivity-for-impaired-phonological-pro_2015_Brain-and-.pdf,<,0.0522786599633044,"F(2, 100) = 3.04, p < 0.05",FALSE,"A significant group  contrasts interaction (F(2, 100) = 3.04, p < 0.05) was found.",significant,add comments,DE
2015-36-BAL-Hemispheric-specialization-for-visual-words-is-shaped-by-atte_2015_Brain-and.pdf,<,0.0754445249388749,"t(15) = 1.91, p < 0.05",FALSE,"Further investigation of the LPC3, the component showing the strongest left lateralization for GP-transfer words, demonstrated that relative to WW-trained words, GP-transfer topographies were significantly more left-lateralized (t(15) = 2.44, p < 0.05) (Fig. 4). This held also for GP trained words relative to WW-trained words during the LPC3 (t(15) = 1.91, p < 0.05).",significant,add comments,DE
2015-41-APS-S0142716414000125a.pdf,<,0.0529969887867887,"r (10) = .57, p < 0.01",FALSE,"Gauthier and colleagues had previously shown that the number of redirective utterances used by IA mothers when their children were 15 months was significantly and positively correlated with their children's expressive vocabulary scores on the MCDI at 20 months, r (10) = .57, p < 0.01.",significant,add comments,DE
2015-14-JML-Episodic-memory-does-not-add-up--Verbatim-gist-superposi_2015_Journal-of-Mem.pdf,<,0.056467844381524,"t(69) = 1.94,p < .03",FALSE,"For List 2, the same null hypothesis was rejected for targets from one-block multiple-exemplar categories (t(69) = 2.82, p < .003), targets from two-block multiple-exemplar categories (t(69) = 3.30, p < .001), targets from single-exemplar categories (t(69) = 2.86, p < .003), and distractors (t(69) = 1.94, p < .03).",significant,add comments,DE
2015-87-BAL-The-effect-of-age-of-acquisition--socioeducational-status--and_2015_Brain-an.pdf,<,0.0525930740010886,"F(1,48) = 3.95, p < 0.05",TRUE,"Monolinguals obtained significantly higher scores than early bilinguals and late bilinguals in English proficiency (monolinguals vs. early bilinguals F(1,48) = 3.95, p < 0.05; monolinguals vs. late bilinguals F(1,46) = 10.69, p = 0.002).",significant,add comments,DE
2016-08-APS-S0142716415000041a.pdf,<,0.119742077015862,"F (1, 31) = 2.56, p < .05",FALSE,"A significant SES difference was observed in the information types mothers produced, Wilks  = 0.29, F (1, 31) = 2.56, p < .05.",significant,add comments,DE
